,apr. tot.,bed rooms,baths,sqft,LandAcres,dst_hj_airport,dst_beltline,dst_gt,NN w landmarks,Linear w/ landmarks,NN w/o landmarks,Linear w/o landmarks,OBJECTID,TaxYear,AddrNumber,TotAssess,LandAssess,ImprAssess,TotAppr,LandAppr,ImprAppr,ExCode,LivUnits,LandAcres_r,Shape__Are,Shape__Len,y,x,dst_hj_airport_r,dst_gt_r,dst_morehouse_clark,dst_oglethorpe,dst_piedmont,dst_chastain,dst_cherokee,dst_ansley,dst_capital_city,no.,last sale amount,year built,total rooms,bed rooms_r,bath,half bath,sqft_r,basement,ht_ac,ext. wall,apr. land,apr. bldg,apr. tot._r,ass. tot.,building style,stories,dst_beltline_r
NN w/o landmarks,0.7710192175386104,0.5203124748546917,0.8187825509255562,0.9359819497197226,0.4398339797876965,0.3664174323506679,0.25178994951092154,0.25774111123670607,0.8360416789490578,0.8876414731078692,1.0,0.9772935714600124,-0.1358941854505932,,0.0993003577423481,0.7699867208210113,0.5623574088533481,0.7712184822723972,0.7699867203155835,0.5623574154581632,0.7712184794292671,,-0.009029361842313413,0.4398339797876965,-0.03444620406226827,0.04877611480032019,0.33631085259547905,0.21432221239219226,0.3664174323506679,0.25774111123670607,0.3137271289354118,-0.09030859019830317,0.22016009960673436,-0.03927376637921168,-0.2723239605733956,0.1788364051975394,-0.05054376240788881,0.09929846910173575,0.10365142344780243,0.30795970821357577,0.5998158236974614,0.5203124748546917,0.7955814844039916,0.4315127721881496,0.935981949719721,0.3423509594292712,0.19325392545008568,0.09113741738455458,0.5626872652532422,0.7729454506694091,0.7710192175385693,0.7747154543579593,-0.14686227115588257,0.4286134159685869,0.25178994951092154
Linear w/o landmarks,0.7551995690920471,0.5489527727862472,0.8421006289601769,0.9625044175031646,0.45814834475637956,0.4218167880783965,0.32090715392628644,0.32716451712047745,0.8186007122163987,0.889775705182847,0.9772935714600124,1.0,-0.17066411311430596,,0.1273566148275907,0.7539431088941136,0.5624207684837299,0.7513331572846833,0.7539431079939997,0.5624207757798617,0.7513331537219894,,-0.011324181163604811,0.45814834475637956,-0.03826840049252763,0.049789497885698995,0.3733203222973922,0.23007027537864955,0.4218167880783965,0.32716451712047745,0.383254839603881,-0.057646813731686064,0.2879012000425266,0.003621875035468118,-0.2871672070517,0.24394664370402847,-0.010788808769716524,0.12735455844119015,0.09702256370773053,0.3520958035429884,0.6329950469038849,0.5489527727862472,0.8117578457548154,0.4665860323313423,0.9625044175031654,0.3525064997036644,0.23550233085280464,0.0691110595384747,0.5629204392619914,0.7532596040316623,0.755199569092028,0.7610617847305845,-0.16684347878255146,0.493545356429798,0.32090715392628644
OBJECTID,-0.050245358914624276,-0.4396006594584647,-0.22277240878689966,-0.2634646895352261,-0.3318838670908303,-0.15255087170556958,-0.3481058717244078,-0.3395851721053109,-0.07669282624142464,-0.061403966825053585,-0.1358941854505932,-0.17066411311430596,1.0,,-0.1184220002851694,-0.05108857105222675,-0.14807512252510954,-0.015291809888139015,-0.05108856188959791,-0.14807512514556354,-0.01529179760819994,,0.022324845629713725,-0.3318838670908303,-0.11885076855015324,-0.29378760412287486,-0.07336390016636252,0.015354793192584945,-0.15255087170556958,-0.3395851721053109,-0.2857609428213302,-0.28732614612067864,-0.36277102579671794,-0.30925981264781044,-0.05536377694211535,-0.3666310086969961,-0.31272861686370557,-0.11841644302664725,0.039030007696100516,0.14494067592821627,-0.3842724284584281,-0.4396006594584647,-0.20467350375889606,-0.15884075903599643,-0.26346468953522123,-0.32640499812652296,0.0754440994165625,0.17286057808806563,-0.14790665189684646,-0.014230626794658065,-0.050245358914623686,-0.051230239011961554,0.5358827056028435,-0.1846445945666626,-0.3481058717244078
TaxYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AddrNumber,-0.010610612405914351,0.16146214458219985,0.15119909491462555,0.14055294479611696,0.11687873411294847,0.22809664406832983,0.3747078576678183,0.37336148240848155,-0.0069244914902869045,-0.014975571975097865,0.0993003577423481,0.1273566148275907,-0.1184220002851694,,1.0,-0.010638330744243913,-0.04302329083170838,0.000764078959447182,-0.01063832867190486,-0.04302328416528823,0.0007640793928246277,,-0.014265541781186195,0.11687873411294847,0.0021106096068079674,0.0197637042715386,0.11498260222816428,0.05474228967287018,0.22809664406832983,0.37336148240848155,0.35249866986966727,0.24706936510438401,0.3764660071388518,0.2898773369276286,0.036783470868043545,0.37132772070411824,0.27604685816223434,0.9999989936184198,-0.012684067370515074,0.20293559554406007,0.13091269786774376,0.16146214458219985,0.12943913904650423,0.1411207682969578,0.14055294479612018,0.009620033326034805,0.08194161759915548,-0.03254056497530487,-0.043185459185733875,0.0008776656186399479,-0.010610612405914818,-0.007160762358238359,-0.06680744795628552,0.16751286129279927,0.3747078576678183
TotAssess,0.9974414250165812,0.41138897593519613,0.6359680189085075,0.7246794078039817,0.33737861855028073,0.2991728581901508,-0.004512844880134077,0.018545656655788376,0.914546534912138,0.8434804410691843,0.7699867208210113,0.7539431088941136,-0.05108857105222675,,-0.010638330744243913,1.0,0.7953720022764406,0.9805366547260204,0.9999999999994518,0.7953720048667717,0.9805366537376887,,-0.0022492366571777115,0.33737861855028073,-0.05991039648794316,0.003557298125897346,0.34513889296634453,0.3030830583515462,0.2991728581901508,0.018545656655788376,0.12527437844927766,-0.364053308476014,-0.04908244345804227,-0.3212839765141518,-0.3867744196836462,-0.10426128553659053,-0.33735674801438986,-0.010640434622694116,0.13952767668087887,0.13984125188757843,0.48954478178308025,0.41138897593519613,0.6227932670502261,0.31812967088604815,0.7246794078039603,0.3346752144477109,0.18231177202195573,0.1374412422406217,0.7955943562628696,0.9779495359800383,0.9974414250165351,0.9842900284610864,-0.09903385636685862,0.2832273087091228,-0.004512844880134077
LandAssess,0.7953671104664473,0.34741725407214213,0.46558540985723695,0.5534788185180749,0.38279858055380456,0.23655800947033118,-0.06331212489130449,-0.04144472617440446,0.7785677787530457,0.6976251355559653,0.5623574088533481,0.5624207684837299,-0.14807512252510954,,-0.04302329083170838,0.7953720022764406,1.0,0.6608878468325841,0.7953719995395379,0.9999999999989736,0.6608878430571653,,0.00044772758717192147,0.38279858055380456,-0.06877912622708648,0.013224833845997578,0.2958754537119848,0.268387097182372,0.23655800947033118,-0.04144472617440446,0.057497033661708476,-0.3736628980861157,-0.10340681075990722,-0.3461599229877871,-0.35484876250770664,-0.15381101949273426,-0.35446578127499806,-0.043025547680417144,0.09282598462624728,-0.062340575381338574,0.405079266772856,0.34741725407214213,0.46474575648746375,0.2019433234756627,0.5534788185180894,0.3302292451345531,0.092916930031582,0.10164119610780205,0.9966450510763507,0.6621377577397072,0.7953671104664416,0.7903932792941011,-0.21200618497346632,0.16094709819047764,-0.06331212489130449
ImprAssess,0.9773702753579923,0.39683551309550424,0.6366264362129141,0.71799606439517,0.2937369388891054,0.29380205334921544,0.014920497266041015,0.03638762923788625,0.8801735563607621,0.8184003880200363,0.7712184822723972,0.7513331572846833,-0.015291809888139015,,0.000764078959447182,0.9805366547260204,0.6608878468325841,1.0,0.980536655611948,0.6608878500402079,0.9999999999990469,,-0.0029320701376331255,0.2937369388891054,-0.05190049187357372,0.00012074357739390564,0.3315018301116053,0.28833342448541216,0.29380205334921544,0.03638762923788625,0.1364870671472833,-0.3297241252274079,-0.027276921093439134,-0.2856770202010603,-0.36395115250010546,-0.07927095980697689,-0.302887476110042,0.0007622050322372343,0.14268238868531394,0.19334144468539546,0.47492364840542783,0.39683551309550424,0.620585768205929,0.32848636555490324,0.7179960643951451,0.30741801497650006,0.19563606641924466,0.13725288201473315,0.662249901748021,0.9963918202593989,0.9773702753579661,0.9626981435543893,-0.05394090758976234,0.2985507074027861,0.014920497266041015
TotAppr,0.9974414250361463,0.4113889730053419,0.6359680180577005,0.7246794061088624,0.33737861551885334,0.29917285660509096,-0.0045128473844692875,0.018545653995563037,0.914546535366459,0.8434804405217855,0.7699867203155835,0.7539431079939997,-0.05108856188959791,,-0.01063832867190486,0.9999999999994518,0.7953719995395379,0.980536655611948,1.0,0.7953720021300164,0.9805366546248462,,-0.0022492371428403566,0.33737861551885334,-0.05991039758038654,0.0035572952694982976,0.34513889148816956,0.3030830567458203,0.29917285660509096,0.018545653995563037,0.1252743761671606,-0.3640533105251397,-0.04908244605678056,-0.3212839792464934,-0.3867744196224283,-0.10426128821028054,-0.3373567503491983,-0.010640432550360734,0.13952769560112155,0.13984125425455307,0.4895447818171063,0.4113889730053419,0.6227932666663937,0.3181296688807577,0.7246794061088416,0.3346752101489924,0.18231177212612285,0.1374412422355704,0.7955943535243556,0.977949536894091,0.9974414250361547,0.9842900286443428,-0.09903385046680101,0.28322730855631667,-0.0045128473844692875
LandAppr,0.7953671130174261,0.3474172554339003,0.4655854144828385,0.5534788248251281,0.3827985874662032,0.23655801499390872,-0.06331212017749972,-0.0414447216362174,0.7785677831199155,0.6976251412095199,0.5623574154581632,0.5624207757798617,-0.14807512514556354,,-0.04302328416528823,0.7953720048667717,0.9999999999989736,0.6608878500402079,0.7953720021300164,1.0,0.6608878462643535,,0.0004477273142645857,0.3827985874662032,-0.06877912601024992,0.013224835403729924,0.2958754588050032,0.26838709932499416,0.23655801499390872,-0.0414447216362174,0.057497038688198936,-0.3736628988838818,-0.10340680647166965,-0.346159922917032,-0.35484876649551067,-0.15381101570315997,-0.3544657813895305,-0.04302554101398972,0.09282598399776162,-0.06234057132363321,0.4050792715804193,0.3474172554339003,0.4647457602735497,0.20194332840395351,0.5534788248251238,0.33022924916357704,0.0929169340404746,0.10164119825158023,0.9966450508014111,0.6621377609912683,0.7953671130174461,0.7903932822114348,-0.2120061844824145,0.1609471018534618,-0.06331212017749972
